Experiment,Replicate,Yield_Weight_g,Avg_RH,Avg_Air_Temp,Avg_CO2,Avg_pH,Avg_EC,Avg_TDS,Avg_Water_Temp
EXP1,R1-T2,279.0,57.39781250000001,19.931125,456.084,5.938888888888889,1.8055555555555556,0.7202500000000001,25.844444444444445
EXP1,R1-T2,219.0,57.39781250000001,19.931125,456.084,5.938888888888889,1.8055555555555556,0.7202500000000001,25.844444444444445
EXP1,R1-T2,244.0,57.39781250000001,19.931125,456.084,5.938888888888889,1.8055555555555556,0.7202500000000001,25.844444444444445
EXP1,R1-T2,304.0,57.39781250000001,19.931125,456.084,5.938888888888889,1.8055555555555556,0.7202500000000001,25.844444444444445
EXP1,R1-T2,236.0,57.39781250000001,19.931125,456.084,5.938888888888889,1.8055555555555556,0.7202500000000001,25.844444444444445
EXP1,R1-T2,236.0,57.39781250000001,19.931125,456.084,5.938888888888889,1.8055555555555556,0.7202500000000001,25.844444444444445
EXP1,R1-T2,150.0,57.39781250000001,19.931125,456.084,5.938888888888889,1.8055555555555556,0.7202500000000001,25.844444444444445
EXP1,R1-T2,192.0,57.39781250000001,19.931125,456.084,5.938888888888889,1.8055555555555556,0.7202500000000001,25.844444444444445
EXP1,R1-T2,230.0,57.39781250000001,19.931125,456.084,5.938888888888889,1.8055555555555556,0.7202500000000001,25.844444444444445
EXP1,R1-T2,269.0,57.39781250000001,19.931125,456.084,5.938888888888889,1.8055555555555556,0.7202500000000001,25.844444444444445
EXP1,R1-T2,281.0,57.39781250000001,19.931125,456.084,5.938888888888889,1.8055555555555556,0.7202500000000001,25.844444444444445
EXP1,R1-T2,229.0,57.39781250000001,19.931125,456.084,5.938888888888889,1.8055555555555556,0.7202500000000001,25.844444444444445
EXP1,R2-T1,207.0,57.39781250000001,19.931125,456.084,6.15,1.8133333333333335,0.72525,25.255555555555556
EXP1,R2-T1,264.0,57.39781250000001,19.931125,456.084,6.15,1.8133333333333335,0.72525,25.255555555555556
EXP1,R2-T1,250.0,57.39781250000001,19.931125,456.084,6.15,1.8133333333333335,0.72525,25.255555555555556
EXP1,R2-T1,275.0,57.39781250000001,19.931125,456.084,6.15,1.8133333333333335,0.72525,25.255555555555556
EXP1,R2-T1,220.0,57.39781250000001,19.931125,456.084,6.15,1.8133333333333335,0.72525,25.255555555555556
EXP1,R2-T1,250.0,57.39781250000001,19.931125,456.084,6.15,1.8133333333333335,0.72525,25.255555555555556
EXP1,R2-T1,270.0,57.39781250000001,19.931125,456.084,6.15,1.8133333333333335,0.72525,25.255555555555556
EXP1,R2-T1,244.0,57.39781250000001,19.931125,456.084,6.15,1.8133333333333335,0.72525,25.255555555555556
EXP1,R2-T1,282.0,57.39781250000001,19.931125,456.084,6.15,1.8133333333333335,0.72525,25.255555555555556
EXP1,R2-T1,202.0,57.39781250000001,19.931125,456.084,6.15,1.8133333333333335,0.72525,25.255555555555556
EXP1,R2-T1,200.0,57.39781250000001,19.931125,456.084,6.15,1.8133333333333335,0.72525,25.255555555555556
EXP1,R2-T1,207.0,57.39781250000001,19.931125,456.084,6.15,1.8133333333333335,0.72525,25.255555555555556
EXP1,R2-T2,270.0,57.39781250000001,19.931125,456.084,6.277777777777778,1.7544444444444443,0.7085000000000001,25.483333333333334
EXP1,R2-T2,292.0,57.39781250000001,19.931125,456.084,6.277777777777778,1.7544444444444443,0.7085000000000001,25.483333333333334
EXP1,R2-T2,193.0,57.39781250000001,19.931125,456.084,6.277777777777778,1.7544444444444443,0.7085000000000001,25.483333333333334
EXP1,R2-T2,245.0,57.39781250000001,19.931125,456.084,6.277777777777778,1.7544444444444443,0.7085000000000001,25.483333333333334
EXP1,R2-T2,287.0,57.39781250000001,19.931125,456.084,6.277777777777778,1.7544444444444443,0.7085000000000001,25.483333333333334
EXP1,R2-T2,238.0,57.39781250000001,19.931125,456.084,6.277777777777778,1.7544444444444443,0.7085000000000001,25.483333333333334
EXP1,R2-T2,258.0,57.39781250000001,19.931125,456.084,6.277777777777778,1.7544444444444443,0.7085000000000001,25.483333333333334
EXP1,R2-T2,234.0,57.39781250000001,19.931125,456.084,6.277777777777778,1.7544444444444443,0.7085000000000001,25.483333333333334
EXP1,R2-T2,235.0,57.39781250000001,19.931125,456.084,6.277777777777778,1.7544444444444443,0.7085000000000001,25.483333333333334
EXP1,R2-T2,273.0,57.39781250000001,19.931125,456.084,6.277777777777778,1.7544444444444443,0.7085000000000001,25.483333333333334
EXP1,R2-T2,254.0,57.39781250000001,19.931125,456.084,6.277777777777778,1.7544444444444443,0.7085000000000001,25.483333333333334
EXP1,R2-T2,235.0,57.39781250000001,19.931125,456.084,6.277777777777778,1.7544444444444443,0.7085000000000001,25.483333333333334
EXP2,R2-T1,333.0,57.98994428969359,22.50352367688022,454.2849721448468,6.236000000000001,1.7756,0.8878,24.203999999999997
EXP2,R2-T1,342.0,57.98994428969359,22.50352367688022,454.2849721448468,6.236000000000001,1.7756,0.8878,24.203999999999997
EXP2,R2-T1,327.0,57.98994428969359,22.50352367688022,454.2849721448468,6.236000000000001,1.7756,0.8878,24.203999999999997
EXP2,R2-T1,324.0,57.98994428969359,22.50352367688022,454.2849721448468,6.236000000000001,1.7756,0.8878,24.203999999999997
EXP2,R2-T1,280.0,57.98994428969359,22.50352367688022,454.2849721448468,6.236000000000001,1.7756,0.8878,24.203999999999997
EXP2,R2-T1,368.0,57.98994428969359,22.50352367688022,454.2849721448468,6.236000000000001,1.7756,0.8878,24.203999999999997
EXP2,R2-T1,335.0,57.98994428969359,22.50352367688022,454.2849721448468,6.236000000000001,1.7756,0.8878,24.203999999999997
EXP2,R2-T1,290.0,57.98994428969359,22.50352367688022,454.2849721448468,6.236000000000001,1.7756,0.8878,24.203999999999997
EXP2,R2-T1,325.0,57.98994428969359,22.50352367688022,454.2849721448468,6.236000000000001,1.7756,0.8878,24.203999999999997
EXP2,R2-T1,347.0,57.98994428969359,22.50352367688022,454.2849721448468,6.236000000000001,1.7756,0.8878,24.203999999999997
